"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1028195-20","","枝吉(2)","","33.24773","130.31902","1028195-20","","0","1028195","",""
"1028196-20","","牛島下(2)","","33.24994","130.32187","1028196-20","","0","1028196","",""
"2015194-10","","高尾(1)","","33.25331","130.32291","2015194-10","","0","2015194","",""
"1028198-20","","老人センター前(2)","","33.25395","130.32541","1028198-20","","0","1028198","",""
"1028199-20","","巨勢公民館前(2)","","33.25498","130.32817","1028199-20","","0","1028199","",""
"1028200-10","","道崎(1)","","33.257638","130.336628","1028200-10","","0","1028200","",""
"1028199-10","","巨勢公民館前(1)","","33.25477","130.32823","1028199-10","","0","1028199","",""
"1028198-10","","老人センター前(1)","","33.25391","130.32568","1028198-10","","0","1028198","",""
"2015194-20","","高尾(2)","","33.25318","130.32303","2015194-20","","0","2015194","",""
"1028196-10","","牛島下(1)","","33.24995","130.32204","1028196-10","","0","1028196","",""
"1028195-10","","枝吉(1)","","33.24761","130.319","1028195-10","","0","1028195","",""
"1028194-10","","今宿町(1)","","33.24774","130.31575","1028194-10","","0","1028194","",""
"1028193-20","","東田代(2)","","33.24858","130.31358","1028193-20","","0","1028193","",""
"1028192-10","","東佐賀(1)","","33.25187","130.31293","1028192-10","","0","1028192","",""
"1028191-10","","材木橋(1)","","33.251942","130.309847","1028191-10","","0","1028191","",""
"1011039-03","","片田江(3)[片田江東]","","33.251478","130.306743","1011039-03","","0","1011039","",""
"1002009-10","","佐嘉神社前(1)","","33.251077","130.303443","1002009-10","","0","1002009","",""
"1028190-10","","エスプラッツ前(1)","","33.254698","130.302336","1028190-10","","0","1028190","",""
"1028189-10","","サンテ溝上病院前(1)","","33.25693","130.30367","1028189-10","","0","1028189","",""
"1011037-10","","大財町(1)","","33.257996","130.304587","1011037-10","","0","1011037","",""
"1011036-10","","戸上電機前(1)","","33.261887","130.303577","1011036-10","","0","1011036","",""
"1011035-10","","市役所南(1)","","33.262689","130.302003","1011035-10","","0","1011035","",""
"1001002-07","","佐賀駅バスセンター 7番のりば","","33.26465","130.29899","1001002-07","","0","1001002","",""
"1056303-20","","大財五丁目(2)","","33.26181","130.30847","1056303-20","","0","1056303","",""
"1056304-20","","大財六丁目(2)","","33.26247","130.31151","1056304-20","","0","1056304","",""
"1056305-20","","下村河畔(2)","","33.26328","130.31578","1056305-20","","0","1056305","",""
"1060346-20","","佐賀中部病院前(2)","","33.26377","130.31906","1060346-20","","0","1060346","",""
"1060347-02","","修理田(2)","","33.26438","130.32227","1060347-02","","0","1060347","",""
"1060348-20","","中牟田(2)","","33.26637","130.32748","1060348-20","","0","1060348","",""
"1060349-20","","瓦町南(2)","","33.2695","130.33086","1060349-20","","0","1060349","",""
"1060350-20","","瓦町(2)","","33.27159","130.33316","1060350-20","","0","1060350","",""
"1060351-20","","堀立(2)","","33.27503","130.33688","1060351-20","","0","1060351","",""
"1060352-20","","堀立東(2)","","33.27743","130.33842","1060352-20","","0","1060352","",""
"1060353-00","","外野","","33.28102","130.33696","1060353-00","","0","1060353","",""
"1060354-00","","伊賀屋橋","","33.28399","130.33578","1060354-00","","0","1060354","",""
"1060355-20","","伊賀屋(2)","","33.28799","130.33485","1060355-20","","0","1060355","",""
"1060356-00","","中野吉","","33.29118","130.33501","1060356-00","","0","1060356","",""
"1060357-00","","和泉野橋","","33.29678","130.33365","1060357-00","","0","1060357","",""
"1060358-20","","折地(2)","","33.30191","130.33145","1060358-20","","0","1060358","",""
"1060359-20","","下和泉(2)","","33.30361","130.33031","1060359-20","","0","1060359","",""
"1060360-00","","上揚","","33.30836","130.32828","1060360-00","","0","1060360","",""
"1060361-20","","久保泉工業団地東(2)","","33.31077","130.32704","1060361-20","","0","1060361","",""
"1060362-20","","上和泉(2)","","33.31633","130.32631","1060362-20","","0","1060362","",""
"1060363-20","","久保泉小学校前(2)","","33.32163","130.32657","1060363-20","","0","1060363","",""
"1060364-20","","川久保(2)","","33.32463","130.32684","1060364-20","","0","1060364","",""
"1060365-20","","川久保交差点北(2)","","33.32628","130.32701","1060365-20","","0","1060365","",""
"1060366-00","","川久保中","","33.328362","130.327396","1060366-00","","0","1060366","",""
"1060367-00","","上分公民館前","","33.33195","130.32761","1060367-00","","0","1060367","",""
"1060368-00","","勝宿神社","","33.33578","130.32718","1060368-00","","0","1060368","",""
"1060369-00","","清友病院前","","33.34","130.32584","1060369-00","","0","1060369","",""
"1060365-10","","川久保交差点北(1)","","33.32624","130.32716","1060365-10","","0","1060365","",""
"1060364-10","","川久保(1)","","33.32495","130.32701","1060364-10","","0","1060364","",""
"1060363-10","","久保泉小学校前(1)","","33.3215","130.32668","1060363-10","","0","1060363","",""
"1060362-10","","上和泉(1)","","33.31714","130.32651","1060362-10","","0","1060362","",""
"1060361-10","","久保泉工業団地東(1)","","33.31018","130.32747","1060361-10","","0","1060361","",""
"1060359-10","","下和泉(1)","","33.30502","130.3298","1060359-10","","0","1060359","",""
"1060358-10","","折地(1)","","33.30179","130.3317","1060358-10","","0","1060358","",""
"1060355-10","","伊賀屋(1)","","33.28815","130.33488","1060355-10","","0","1060355","",""
"1060352-10","","堀立東(1)","","33.27746","130.33861","1060352-10","","0","1060352","",""
